nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_12_21,02_12_21,03_12_21,04_12_21,05_12_21,06_12_21,07_12_21,08_12_21,09_12_21,10_12_21,11_12_21,12_12_21,13_12_21,14_12_21,15_12_21,16_12_21,17_12_21,18_12_21,19_12_21,20_12_21,21_12_21,22_12_21,23_12_21,24_12_21,25_12_21,26_12_21,27_12_21,28_12_21,29_12_21,30_12_21,total
Novo Horizonte,291180801A,Guaratinga,Guaratinga (Novo Horizonte) - 291180801A,-16.582916,-39.780555,Sul,"RPGA dos Rios dos Frades, Buranhém e Santo Antônio",4.6,1.0,26.4,2.0,13.4,5.0,1.4,29.6,116.4,62.8,16.6,0.2,0.0,0.2,3.0,26.6,0.0,0.0,0.0,40.0,11.2,13.2,14.0,39.2,32.6,4.6,8.4,11.0,2.2,0.0,485.6
CPLAC,LE-CL-02,Jussari,Jussari (CPLAC) - LE-CL-02,-15.18683,-39.48713,Sul,RPGA do Leste,0.0,4.0,9.6,33.2,5.0,9.8,0.0,9.8,4.4,28.8,13.4,0.2,0.2,0.0,4.0,13.6,0.0,13.6,0.0,6.8,6.6,19.6,0.4,7.4,96.0,20.4,14.8,10.0,13.2,3.6,348.41
Centro,291560101A,Itamaraju,Itamaraju (Centro) - 291560101A,-17.027541,-39.534994,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",0.2,18.0,10.6,0.4,9.2,6.0,0.2,315.6,79.8,87.6,10.0,0.2,1.0,0.0,0.0,13.6,0.0,0.0,0.0,41.4,18.4,11.2,7.6,82.2,59.0,4.8,4.8,8.8,0.8,0.0,791.4
Pau Brasil,292390201A,Pau Brasil,Pau Brasil - 292390201A,-15.46122,-39.65225,Sul,RPGA do Rio Pardo,0.4,37.8,11.8,74.2,7.8,0.8,5.6,8.6,15.2,50.4,11.8,1.2,0.0,0.0,0.0,5.4,1.0,0.0,0.0,6.0,2.4,25.6,0.0,15.2,101.8,18.4,5.4,2.4,11.0,0.0,420.2
Centro,292805901A,Santa Luzia,Santa Luzia (Centro) - 292805901A,-15.42976,-39.332759,Sul,RPGA do Leste,0.2,9.2,27.2,42.6,14.0,1.8,4.8,18.8,4.6,54.8,14.8,1.2,0.0,0.6,2.8,10.6,0.0,10.0,0.0,4.2,7.0,13.0,0.2,7.4,46.6,31.6,16.8,2.2,27.0,0.2,374.2
PCH Colino I J,55357000,Jucuruçu,Jucuruçu (PCH Colino I J) - 55357000,-17.0822,-40.0772,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",6.0,45.5,0.75,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,53.5
Centro,290560201A,Camacan,Camacan (Centro) - 290560201A,-15.422225,-39.494984,Sul,RPGA do Rio Pardo,0.0,11.06,20.87,71.5,26.19,3.2,8.6,8.2,5.4,15.58,14.6,8.79,4.4,3.6,2.38,5.92,0.0,0.2,0.0,5.17,3.55,42.37,8.5,3.66,55.68,10.67,5.72,0.6,5.73,0.0,352.15
Centro,290340901A,Belmonte,Belmonte (Centro) - 290340901A,-15.859179,-38.878025,Sul,RPGA do Rio Jequitinhonha,2.36,1.98,3.74,6.32,0.0,0.0,0.79,2.56,3.94,91.74,12.2,0.0,0.0,0.0,6.31,0.0,0.0,0.98,0.0,0.2,11.99,21.88,0.59,46.06,41.96,27.82,10.49,0.2,5.33,0.0,299.44
São João do Panelinha,290560202A,Camacan,Camacan (São João do Panelinha) - 290560202A,-15.375278,-39.489984,Sul,RPGA do Rio Pardo,0.0,6.3,16.56,75.53,4.33,5.52,0.79,17.92,10.25,15.58,17.69,1.18,0.2,0.0,1.57,3.75,0.0,0.0,0.0,0.2,1.19,27.24,7.68,3.57,96.73,21.1,1.78,1.8,16.0,0.0,354.46
Centro,290560203A,Camacan,Camacan (Centro) - 290560203A,-15.416389,-39.493873,Sul,RPGA do Rio Pardo,0.2,9.3,18.6,96.92,12.62,0.59,6.9,11.07,12.39,24.83,9.73,3.93,1.78,0.0,0.79,5.75,0.0,0.4,0.0,4.94,4.93,45.12,10.51,4.33,91.22,21.47,15.95,0.78,12.81,0.2,428.06
Conquista,291360601A,Ilhéus,Ilhéus (Conquista) - 291360601A,-14.797213,-39.04608,Sul,RPGA do Leste,6.31,4.33,28.15,14.2,5.71,27.97,0.0,1.78,42.2,98.39,121.8,0.0,0.2,0.2,11.42,18.92,2.57,0.0,0.0,1.19,6.76,32.68,0.0,31.7,118.67,54.4,3.97,1.96,4.17,0.0,639.65
Malhado,291360602A,Ilhéus,Ilhéus (Malhado) - 291360602A,-14.789158,-39.048858,Sul,RPGA do Leste,5.13,3.77,32.69,12.48,3.95,25.61,0.0,0.8,33.88,86.32,108.03,0.82,0.0,0.0,11.61,15.2,1.97,0.2,0.0,0.6,5.9,25.4,0.0,23.22,112.74,48.56,2.76,1.79,5.51,0.0,568.94
São Caetano,291480202A,Itabuna,Itabuna (São Caetano) - 291480202A,-14.80638,-39.27803,Sul,RPGA do Leste,0.0,4.04,3.97,12.87,0.0,16.9,4.54,19.15,9.26,8.88,88.54,0.8,0.2,0.0,10.45,12.81,1.39,1.01,1.18,5.32,8.9,8.52,0.4,24.62,78.05,53.58,10.81,0.0,2.96,0.0,389.15
Nova Ferradas,291480203A,Itabuna,Itabuna (Nova Ferradas) - 291480203A,-14.857213,-39.346922,Sul,RPGA do Leste,1.57,5.8,5.51,16.02,0.2,13.41,2.0,16.42,11.42,10.84,58.45,2.57,0.2,0.0,17.09,3.55,2.17,8.84,0.2,2.57,3.36,22.42,3.15,22.19,85.4,56.57,12.79,0.2,12.42,0.2,397.53
Centro,292300102A,Nova Viçosa,Nova Viçosa (Centro) - 292300102A,-17.893,-39.372,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",0.0,9.26,0.0,19.94,2.96,3.77,11.72,54.77,28.49,26.4,3.36,0.2,0.0,0.0,0.0,0.79,0.0,1.01,0.0,15.41,29.82,2.77,0.0,12.64,16.41,4.13,0.2,13.56,2.16,0.0,259.77
Posto da Mata,292300103A,Nova Viçosa,Nova Viçosa (Posto da Mata) - 292300103A,-17.896,-39.37,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",0.0,7.88,0.0,19.52,1.78,4.13,11.1,48.07,25.71,13.4,0.2,0.0,0.0,0.0,0.0,1.58,0.0,0.0,0.0,15.77,30.79,2.17,0.0,12.82,16.09,4.53,0.0,13.32,1.97,0.0,230.83
Areião,292530301A,Porto Seguro,Porto Seguro (Areião) - 292530301A,-16.441,-39.076,Sul,"RPGA dos Rios dos Frades, Buranhém e Santo Antônio",50.59,3.35,1.97,3.57,0.0,0.0,1.77,16.77,153.31,80.67,3.94,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.13,9.88,14.17,1.19,41.68,49.48,7.2,2.56,11.04,10.4,2.79,473.05
Centro,291480201A,Itabuna,Itabuna (Centro) - 291480201A,-14.79,-39.274,Sul,RPGA do Leste,0.0,3.18,5.12,12.82,0.0,7.67,7.08,16.72,5.72,3.54,88.58,1.39,0.0,0.0,6.09,3.96,0.8,0.79,1.57,2.95,4.34,9.88,0.0,25.39,91.78,58.43,11.22,0.0,2.97,0.0,372.0
Estádio Municipal,291530401A,Itagimirim,Itagimirim (Estádio Municipal) - 291530401A,-16.089181,-39.615546,Sul,RPGA do Rio Jequitinhonha,5.35,12.64,3.19,8.23,22.11,0.0,12.4,13.25,19.76,15.17,2.84,2.21,0.0,0.0,0.4,2.37,0.2,0.0,0.0,1.19,6.92,12.21,9.88,76.51,56.52,2.19,8.14,3.77,1.6,0.2,299.25
Jusante,54945000,Itapebi,Itapebi (Jusante) - 54945000,-15.949206,-39.5225,Sul,RPGA do Rio Jequitinhonha,0.6,7.0,2.6,27.4,6.6,3.8,0.8,16.6,12.8,28.4,2.0,3.0,11.0,0.0,1.0,4.2,0.0,0.0,0.0,0.4,14.2,10.6,1.6,50.6,64.2,16.0,8.2,1.8,0.8,0.0,296.2
Ferradas,53170000,Itabuna,Itabuna (Ferradas) - 53170000,-14.8439,-39.3311,Sul,RPGA do Leste,1.2,5.2,2.4,18.4,0.6,14.0,4.8,18.6,8.8,17.6,70.6,3.2,1.6,0.0,22.6,5.0,2.4,4.2,0.0,2.0,2.8,19.0,4.8,27.0,95.6,52.4,35.6,0.0,0.0,0.0,440.4
Bom Jesus da Lapa,83288,Bom Jesus da Lapa,Bom Jesus da Lapa - 83288,-13.251389,-43.405278,São Francisco,RPGA do Rio Carnaíba de Dentro,0.0,13.4,0.0,0.4,0.8,0.0,21.7,13.5,37.0,1.5,0.0,14.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,10.2,24.5,33.0,4.2,60.6,31.9,27.4,0.4,17.1,0.0,319.6
Paratinga,292370401U,Paratinga,Paratinga - 292370401U,-12.678908,-43.180266,São Francisco,RPGA do Rio Carnaíba de Dentro,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.61
Faz. Macambira,46675000,Cotegipe,Cotegipe (Faz. Macambira) - 46675000,-11.6106,-44.1567,São Francisco,RPGA do Rio Grande,0.0,39.8,0.2,8.0,4.4,0.0,27.2,19.8,17.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,32.4,70.6,11.8,36.0,23.6,5.8,40.2,62.0,4.8,5.0,0.0,415.6
Fz.P. Limpo,46870000,Mansidão,Mansidão (Fz.P. Limpo) - 46870000,-11.236845,-43.950633,São Francisco,RPGA do Rio Grande,0.0,4.6,0.2,2.8,0.0,0.0,14.8,1.4,0.6,42.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,1.2,10.4,16.4,0.0,20.0,8.8,16.8,75.2,0.8,11.0,0.0,251.01
Barra,46998000,Barra,Barra - 46998000,-11.0928,-43.1403,São Francisco,RPGA do Rio Grande,13.2,3.6,2.8,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,14.4,6.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.0,53.01
Boqueirão,46902000,Mansidão,Mansidão (Boqueirão) - 46902000,-11.345255,-43.826056,São Francisco,RPGA do Rio Grande,7.2,8.6,0.0,9.4,3.8,0.0,7.8,10.8,2.8,0.6,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,9.6,1.0,70.2,11.2,10.2,20.0,6.0,29.6,89.0,5.4,0.2,0.0,306.2
Ipupiara,SM-PR-07,Ipupiara,Ipupiara - SM-PR-07,-11.81885,-42.61825,São Francisco,RPGA dos Rios Paramirim e Santo Onofre,0.2,59.4,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.6
Xique-Xique,PM-CL-05,Xique-Xique,Xique-Xique - PM-CL-05,-10.82519,-42.68914,São Francisco,RPGA dos Rios Paramirim e Santo Onofre,6.0,41.4,19.4,3.0,0.4,0.2,0.0,0.0,9.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.2,13.8,6.8,1.0,10.2,17.8,6.0,1.6,2.4,0.0,142.61
Fazenda Água Quente,VJ-FR-01,Gentio do Ouro,Gentio do Ouro (Fazenda Água Quente) - VJ-FR-01,-11.550069,-42.337643,São Francisco,RPGA dos Rios Verde e Jacaré,12.8,0.0,5.0,2.0,0.4,2.6,0.0,0.0,59.6,2.8,13.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,3.8,18.4,38.3,13.4,17.0,44.0,29.4,0.2,25.0,0.2,305.3
